kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
NON_MARKET,2026-06-24,17310834,,2,2026-06-24 13:29:46,2026-06-24 13:29:46,0.0,0.0,,,0.0,0.0,0.0,1,0,Tra(TID:16276894),17310834
NON_MARKET,2026-06-24,17310886,,3,2026-06-24 13:40:45,2026-06-24 13:40:45,0.0,0.0,,,0.0,0.0,0.0,1,0,ExiCliDepBon10%(TID:16276903),17310886
BOT,2026-06-24,19555595,XAUUSD,SELL,2026-06-24 13:45:52,2026-06-24 13:53:55,0.01,0.01,4065.27,4057.51,7.76,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4057.49],"17310934,17310984"
BOT,2026-06-24,19555596,XAUUSD,SELL,2026-06-24 13:45:53,2026-06-24 14:06:00,0.01,0.01,4065.27,4049.72,15.55,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4051.29],"17310935,17311087"
BOT,2026-06-24,19555597,XAUUSD,SELL,2026-06-24 13:45:53,2026-06-24 14:14:53,0.01,0.01,4065.23,4045.07,20.16,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4045.10],"17310936,17311212"
BOT,2026-06-24,19555598,XAUUSD,SELL,2026-06-24 13:45:53,2026-06-24 14:04:34,0.01,0.01,4065.22,4051.89,13.33,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4052.28],"17310937,17311056"
BOT,2026-06-24,19555599,XAUUSD,SELL,2026-06-24 13:45:54,2026-06-24 14:15:51,0.01,0.01,4065.25,4041.25,24.0,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4041.91],"17310938,17311233"
BOT,2026-06-24,19555600,XAUUSD,SELL,2026-06-24 13:45:54,2026-06-24 15:25:03,0.01,0.01,4065.27,4023.68,41.59,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4031.54],"17310939,17311793"
BOT,2026-06-24,19555603,XAUUSD,SELL,2026-06-24 13:46:25,2026-06-24 13:53:40,0.01,0.01,4064.54,4058.33,6.21,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4058.39],"17310942,17310980"
BOT,2026-06-24,19555604,XAUUSD,SELL,2026-06-24 13:46:25,2026-06-24 14:04:33,0.01,0.01,4064.61,4052.92,11.69,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4053.52],"17310943,17311052"
BOT,2026-06-24,19555605,XAUUSD,SELL,2026-06-24 13:46:26,2026-06-24 14:06:01,0.01,0.01,4064.61,4048.72,15.89,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4048.64],"17310944,17311098"
BOT,2026-06-24,19555647,XAUUSD,SELL,2026-06-24 13:53:56,2026-06-24 14:06:01,0.01,0.01,4057.3,4048.72,8.58,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4048.94],"17310985,17311099"
BOT,2026-06-24,19555648,XAUUSD,SELL,2026-06-24 13:53:57,2026-06-24 14:15:46,0.01,0.01,4057.33,4042.12,15.21,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4042.31],"17310986,17311226"
BOT,2026-06-24,19555649,XAUUSD,SELL,2026-06-24 13:53:57,2026-06-24 15:08:04,0.01,0.01,4057.34,4035.86,21.48,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4035.67],"17310987,17311610"
BOT,2026-06-24,19555766,XAUUSD,SELL,2026-06-24 14:06:13,2026-06-24 14:15:44,0.01,0.01,4049.29,4043.31,5.98,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4043.34],"17311108,17311223"
BOT,2026-06-24,19555767,XAUUSD,SELL,2026-06-24 14:06:13,2026-06-24 14:16:30,0.01,0.01,4049.67,4038.38,11.29,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4038.48],"17311109,17311256"
BOT,2026-06-24,19555768,XAUUSD,SELL,2026-06-24 14:06:14,2026-06-24 15:24:43,0.01,0.01,4049.55,4033.55,16.0,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4033.62],"17311110,17311766"
BOT,2026-06-24,19555769,XAUUSD,SELL,2026-06-24 14:06:14,2026-06-24 14:16:06,0.01,0.01,4049.56,4041.03,8.53,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4040.86],"17311111,17311249"
BOT,2026-06-24,19555771,XAUUSD,SELL,2026-06-24 14:06:14,2026-06-24 15:24:42,0.01,0.01,4049.24,4033.9,15.34,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4034.03],"17311113,17311765"
BOT,2026-06-24,19555772,XAUUSD,SELL,2026-06-24 14:06:15,2026-06-24 15:25:03,0.01,0.01,4049.14,4023.68,25.46,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4027.19],"17311114,17311794"
BOT,2026-06-24,19555773,XAUUSD,SELL,2026-06-24 14:06:15,2026-06-24 15:08:04,0.01,0.01,4049.32,4035.98,13.34,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4036.28],"17311115,17311607"
BOT,2026-06-24,19555774,XAUUSD,SELL,2026-06-24 14:06:15,2026-06-24 15:25:03,0.01,0.01,4049.37,4023.68,25.69,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4025.90],"17311116,17311795"
BOT,2026-06-24,19555775,XAUUSD,SELL,2026-06-24 14:06:16,2026-06-24 15:25:10,0.01,0.01,4049.37,4015.54,33.83,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4015.52],"17311117,17311858"
BOT,2026-06-24,19556276,XAUUSD,SELL,2026-06-24 15:08:18,2026-06-24 15:25:03,0.01,0.01,4037.74,4023.68,14.06,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4028.22],"17311616,17311798"
BOT,2026-06-24,19556278,XAUUSD,SELL,2026-06-24 15:08:18,2026-06-24 15:25:04,0.01,0.01,4037.72,4017.91,19.81,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4020.37],"17311618,17311807"
BOT,2026-06-24,19556279,XAUUSD,SELL,2026-06-24 15:08:19,2026-06-24 15:25:57,0.01,0.01,4037.3,4012.18,25.12,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 4012.53],"17311619,17311932"
